Rank,Name,Population
1,Los Angeles,10098052
2,San Diego,3302833
3,Orange,3164182
4,Riverside,2383286
5,San Bernardino,2135413
6,Santa Clara,1922200
7,Alameda,1643700
8,Sacramento,1510023
9,Contra Costa,1133247
10,Fresno,978130
11,Kern,883053
12,San Francisco,870044
13,Ventura,848112
14,San Mateo,765935
15,San Joaquin,732212
16,Stanislaus,539301
17,Sonoma,501317
18,Tulare,460477
19,Santa Barbara,443738
20,Solano,438530
21,Monterey,433212
22,Placer,380077
23,San Luis Obispo,281455
24,Santa Cruz,273765
25,Merced,269075
26,Marin,260295
27,Butte,227075
28,Yolo,214977
29,El Dorado,186661
30,Imperial,180216
31,Shasta,179085
32,Madera,155013
33,Kings,150075
34,Napa,140530
35,Humboldt,135768
36,Nevada,99092
37,Sutter,95872
38,Mendocino,87422
39,Yuba,75493
40,Lake,64148
41,Tehama,63373
42,San Benito,59416
43,Tuolumne,53932
44,Calaveras,45235
45,Siskiyou,43540
46,Amador,37829
47,Lassen,31185
48,Glenn,27897
49,Del Norte,27424
50,Colusa,21464
51,Plumas,18699
52,Inyo,18085
53,Mariposa,17540
54,Mono,14174
55,Trinity,12862
56,Modoc,8938
57,Sierra,2930
58,Alpine,1146
