Rank2019,Rank2010,Name,Population,Census population April 1 2010,Percent change 2010–2019,Absolute change 2010-2019,Total seats in the U.S. House of Representatives 2013–2023,Estimated population per electoral vote 2019,Estimated population per House seat 2019,Census population per House seat 2010,Percent of the total U.S. population 2018
1,1,California,39512223,37254523,6.1,+2257700,53,718404,745514,702885,11.96
2,2,Texas,28995881,25145561,15.3,+3850320,36,763050,805441,698503,8.68
3,4,Florida,21477737,18801310,14.2,+2676427,27,740611,795472,696468,6.44
4,3,New York,19453561,19378102,0.4,+75459,27,670812,720502,717707,5.91
5,6,Pennsylvania,12801989,12702379,0.8,+99610,18,640099,711222,705715,3.87
6,5,Illinois,12671821,12830632,-1.2,−158811,18,633591,703990,712864,3.85
7,7,Ohio,11689100,11536504,1.3,+152596,16,649394,730569,721032,3.53
8,9,Georgia,10617423,9687653,9.6,+929770,14,663589,758387,691975,3.18
9,10,North Carolina,10488084,9535483,10.0,+952601,13,699206,806776,733498,3.14
10,8,Michigan,9986857,9883640,1.0,+103217,14,624179,713347,705974,3.02
11,11,New Jersey,8882190,8791894,1.0,+90296,12,634442,740183,732658,2.69
12,12,Virginia,8535519,8001024,6.7,+534495,11,656578,775956,727366,2.58
13,13,Washington,7614893,6724540,13.2,+890353,10,634574,751489,672454,2.28
14,16,Arizona,7278717,6392017,13.9,+886700,9,661702,808746,710224,2.17
15,14,Massachusetts,6949503,6547629,5.3,+344874,9,626591,765834,727514,2.09
16,17,Tennessee,6833174,6346105,7.6,+483069,9,620834,758797,705123,2.05
17,15,Indiana,6732219,6483802,3.8,+248417,9,612020,748024,720422,2.02
18,18,Missouri,6137428,5988927,2.5,+148501,8,613743,767179,748615,1.85
19,19,Maryland,6045680,5773552,4.7,+272128,8,604568,755710,721694,1.83
20,20,Wisconsin,5822434,5686986,2.4,+135448,8,582243,727804,710873,1.76
21,22,Colorado,5758736,5029196,14.5,+729540,7,639860,822677,720704,1.72
22,21,Minnesota,5639632,5303925,6.3,+335707,8,563963,704954,662991,1.70
23,24,South Carolina,5148714,4625364,11.3,+523350,7,572079,735531,660766,1.54
24,23,Alabama,4903185,4779736,2.6,+123449,7,544798,700455,682819,1.48
25,25,Louisiana,4648794,4533372,2.5,+115422,6,581099,774799,755562,1.41
26,26,Kentucky,4467673,4339367,3.0,+128306,6,558459,744612,723228,1.35
27,27,Oregon,4217737,3831074,10.1,+386663,5,602534,843547,766215,1.27
28,28,Oklahoma,3956971,3751351,5.5,+205620,5,565282,791394,750270,1.19
29,30,Connecticut,3565287,3574097,-0.2,−8810,5,509327,713057,714824,1.08
30,35,Utah,3205958,2763885,16.0,+442073,4,534326,801490,690972,0.96
31,29,Puerto Rico,3193694,3725789,-14.3,−532095,1,0,3193694,3725789,0.97
32,31,Iowa,3155070,3046355,3.6,+108715,4,525845,788768,761717,0.95
33,36,Nevada,3080156,2700551,14.1,+379605,4,513359,770039,675173,0.92
34,33,Arkansas,3017825,2915918,3.5,+101886,4,502967,754451,728990,0.91
35,32,Mississippi,2976149,2967297,0.3,+8852,4,496024,744037,742026,0.90
36,34,Kansas,2913314,2853118,2.1,+60196,4,485552,728329,713280,0.88
37,37,New Mexico,2096829,2059179,1.8,+37650,3,419366,698943,686393,0.63
38,39,Nebraska,1934408,1826341,5.9,+108067,3,386882,644803,608780,0.58
39,40,Idaho,1792065,1567582,13.9,+218483,2,446516,893033,783826,0.53
40,38,West Virginia,1787147,1852994,-3.3,−60820,3,358435,597391,617670,0.55
41,41,Hawaii,1415872,1360301,4.1,+55571,2,353968,707936,680151,0.43
42,43,New Hampshire,1359711,1316470,3.3,+43241,2,339928,679856,658233,0.41
43,42,Maine,1344212,1328361,1.2,+15851,2,336053,672106,664181,0.40
44,45,Montana,1068778,989415,8.0,+79363,1,356259,1068778,989417,0.32
45,44,Rhode Island,1059361,1052567,0.6,+6794,2,264840,529681,526466,0.32
46,46,Delaware,973764,897934,8.4,+75830,1,324588,973764,897934,0.29
47,47,South Dakota,884659,814180,8.7,+70479,1,294886,884659,814180,0.27
48,49,North Dakota,762062,672591,13.3,+89471,1,254021,762062,672591,0.23
49,48,Alaska,731545,710231,3.0,+21314,1,243848,731545,710231,0.22
50,51,District of Columbia,705749,601723,17.3,+104026,1,235250,0,0,0.21
51,50,Vermont,623989,625741,-0.2,-1752,1,207996,623989,625741,0.19
52,52,Wyoming,578759,563626,2.7,+15133,1,192920,578759,563626,0.17
53,53,Guam,165718,159358,4.0,+6360,1,0,0,0,0.05
54,54,U.S. Virgin Islands,104914,106405,-1.4,−1491,1,0,0,0,0.03
55,55,American Samoa,55641,55519,0.22,+122,1,0,0,0,0.02
56,56,Northern Mariana Islands,55194,53883,2.4,+1311,1,0,0,0,0.02
